# dust - type = 101
C->C(s)			          : C         8.64726		19.0422	1400.0 1.281 101
Fe->Fe(s)			        : Fe        4.84180		16.5566	1800.0 1.411 101
Fe+S->FeS(s)		      : Fe,S      9.31326		30.7771	380.0	 1.932 101
Si->Si(s)			        : Si        5.36975		17.4349	800.0	 1.684 101
Ti->Ti(s)			        : Ti        5.58902		16.6071	1510.0 1.615 101
Cr->Cr(s)			        : Cr        4.67733		16.7596	1880.0 1.421 101
Co->Co(s)			        : Co        5.03880		16.8372	1936.0 1.383 101
Ni->Ni(s)			        : Ni        5.09130		17.1559	1924.0 1.377 101
SiO+O->SiO2(s)	      :	SiO       12.6028		38.1507	605.0	 2.080 101
Mg+O->MgO(s)		      : Mg        11.9237		33.1593	1100.0 1.646 101
3Fe+4O->Fe3O4(s)      :	Fe        13.2889		39.1687	400.0	 1.805 101
Fe+O->FeO(s)		      : Fe        11.1290		31.9850	580.0	 1.682 101
Si+C->SiC(s)		      : Si,C      14.8934		37.3825	1800.0 1.702 101
Ti+C->TiC(s)		      : Ti,C      16.4696		37.2301	1242.0 1.689 101
2Al+3O->Al2O3(s)      :	Al        18.4788		45.3543	690.0	 1.718 101
Mg+Si+3O->MgSiO3(s)  : Mg,Si    25.0129		72.0015	400.0	 2.319 101
Na+Cl->NaCl(s)          : Na,Cl    7.3862       24.078  250.0   2.820 101
#V->V(s)                           : V         6.15394           17.4349 1697.0 1.490 101
#Cu->Cu(s)                           : Cu         3.97955           14.9083 1300.0 1.412 101
