run,fryer,model,mprog,mbounce,minj,tinj,Einj,Eexp,mrem,num
run15f1_216M1.3aal,aal,M15bE2.63,15,1.30,0.02,0.2,20,2.63,1.53,0
run15f1_216M1.3abl,abl,M15aE4.79,15,1.30,0.3,0.4,20,4.79,1.50,1
run15f1_216M1.3bdl,bdl,M15bE1.69,15,1.30,0.02,0.2,10,1.69,1.52,2
run15f1_216M1.3yl,yl,M15aE2.47,15,1.30,0.3,0.1,9,2.47,1.52,13
run20f1_240M1.47al,201.47al,M20cE2.85,20,1.47,0.1,0.5,20,2.85,1.74,14
run20f1_240M1.47bl,201.47bl,M20cE5.03,20,1.47,0.1,0.5,50,5.03,1.74,15
run20f1_240M1.47cl,201.47cl,M20cE8.86,20,1.47,0.1,0.5,100,8.86,1.74,16
run20f1_240M1.47dl,201.47dl,M20cE1.65,20,1.47,0.1,0.5,10,1.65,1.78,17
run20f1_240M1.47el,201.47el,M20cE1.00,20,1.47,0.1,0.5,8,1.00,2.35,18
run20f1_240M1.47fl,201.47fl,M20cE0.84,20,1.47,0.1,0.5,7,0.84,2.62,19
run20f1_240M1.47gl,201.47gl,M20cE0.75,20,1.47,0.1,0.5,6,0.75,2.76,20
run20f1_240M1.47hl,201.47hl,M20cE2.76,20,1.47,0.1,0.5,15,2.76,1.76,21
run20f1_240M1.47redal,NA,NA,20,NA,NA,NA,NA,124,NA,22
run20f1_240M1.47redbl,NA,NA,20,NA,NA,NA,NA,64.5,NA,23
run20f1_240M1.47redcl,NA,NA,20,NA,NA,NA,NA,5.9,NA,24
run20f1_240M1.47reddl,NA,NA,20,NA,NA,NA,NA,18.1,NA,25
run20f1_240M1.47redel,NA,NA,20,NA,NA,NA,NA,78.9,NA,26
run20f1_240M1.47redfl,NA,NA,20,NA,NA,NA,NA,88.4,NA,27
run20f1_240M1.47redgl,NA,NA,20,NA,NA,NA,NA,4.3,NA,28
run20f1_300M1.56al,20al,M20aE4.15,20,1.56,0.1,0.12,50,4.15,1.85,29
run20f1_300M1.56bl,20bl,M20aE2.43,20,1.56,0.1,0.12,20,2.43,1.86,30
run20f1_300M1.56cl,20cl,M20aE1.39,20,1.56,0.1,0.12,10,1.39,1.93,31
run20f1_300M1.56dl,20dl,M20aE0.81,20,1.56,0.1,0.12,7,0.81,2.70,32
run20f1_300M1.56el,20el,M20aE0.65,20,1.56,0.1,0.12,4,0.65,3.03,33
run20f1_300M1.56gl,20gl,M20bE4.33,20,1.56,0.2,0.12,50,4.33,1.87,34
run20f1_300M1.56hl,20hl,M20bE2.60,20,1.56,0.2,0.12,25,2.60,1.90,35
run20f1_300M1.56il,20il,M20bE1.52,20,1.56,0.2,0.12,10,1.52,1.97,36
run20f1_300M1.56jl,20jl,M20bE1.19,20,1.56,0.2,0.12,8,1.19,2.28,37
run20f1_300M1.56kl,20kl,M20bE1.04,20,1.56,0.2,0.12,6,1.04,2.47,38
run20f1_300M1.56ll,20ll,M20bE0.78,20,1.56,0.2,0.12,5,0.78,2.85,39
run20f1_300M1.56t2al,202al,M20aE2.50,20,1.56,0.1,0.50,20,2.50,1.93,40
run20f1_300M1.56t2bl,202bl,M20aE1.47,20,1.56,0.1,0.50,10,1.47,2.23,41
run20f1_300M1.56t2cl,202cl,M20aE0.85,20,1.56,0.1,0.50,7,0.85,2.62,42
run20f1_300M1.56t2dl,202dl,M20aE0.53,20,1.56,0.1,0.50,4,0.53,3.40,43
run25f1_280M1.83al,NA,M25aE4.73,25,1.83,0.1,0.1,20,4.73,2.38,44
run25f1_280M1.83bl,NA,M25aE6.17,25,1.83,0.1,0.1,35,6.17,2.38,45
run25f1_280M1.83cl,NA,M25aE14.8,25,1.83,0.1,0.1,100,14.8,2.35,46
run25f1_280M1.83dl,NA,M25aE7.42,25,1.83,0.1,0.1,50,7.42,2.37,47
run25f1_280M1.83el,NA,M25aE1.57,25,1.83,0.1,0.1,10,1.57,3.73,48
run25f1_280M1.83fl,NA,M25aE0.99,25,1.83,0.1,0.1,5.0,0.99,4.89,49
run25f1_280M1.83ll,25ll,M25bE8.40,25,1.83,0.02,0.28,50.0,8.40,2.38,50
run25f1_280M1.83nl,25nl,M25bE18.4,25,1.83,0.02,0.69,200,18.4,2.35,52
run25f1_280M1.83rbl,25rbl,M25d2E2.53,25,1.83,0.02,0.7,20,2.53,2.35,54
run25f1_280M1.83rcl,25rcl,M25d1E3.30,25,1.83,0.02,0.7,25,3.30,2.35,55
run25f1_280M1.83rgl,25rgl,M25d2E2.78,25,1.83,0.02,0.7,50,2.78,2.35,58
run25f1_280M1.83rnl,25rnl,M25d3E0.89,25,1.83,0.02,0.7,7,0.89,4.66,60
run15t1,15t1,M15cE2.06,15,1.30,0.1,0.3,15,2.06,1.59,65
run15t2,15t2,M15cE1.94,15,1.30,0.1,0.3,12,1.94,1.61,66
run15t3,15t3,M15cE1.90,15,1.30,0.1,0.3,10,1.90,1.62,67
run15t5,15t5,M15cE1.86,15,1.30,0.1,0.3,9,1.86,1.63,68
run15t6,15t6,M15cE2.24,15,1.30,0.1,0.3,25,2.24,1.56,69
run15t8,15t8,M15cE2.60,15,1.30,0.1,0.3,45,2.60,1.52,70
run15t9,15t9,M15cE3.43,15,1.30,0.1,0.3,90,3.43,1.51,71
